chwd	chwd
cachyos-ananicy-rules	ananicy-rules
cachyos-snapper-support	pond-snapper-support
grub-btrfs-support	grub-btrfs-support
intel-lpmd	intel-lpmd
mesa	mesa
nvidia	nvidia
pacutils	pacutils
power-profiles-daemon	power-profiles-daemon
